t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor,mode
217017.4766,0,664.79,220.17,664.79,220.17,,0,11.44,86.34,1,palm,relative
217017.5100,0,664.79,220.17,664.79,220.17,,0,11.79,83.00,1,palm,relative
217017.5433,0,664.79,220.17,664.79,220.17,,0,7.47,77.67,1,palm,relative
217017.5767,0,664.79,220.17,664.79,220.17,,0,8.89,81.42,1,palm,relative
217017.6100,0,664.79,220.17,664.79,220.17,,0,11.37,81.12,1,palm,relative
217017.6434,0,664.79,220.17,664.79,220.17,,0,8.71,78.10,1,palm,relative
217017.6767,0,664.79,220.17,664.79,220.17,,0,12.34,84.48,1,palm,relative
217017.7101,0,664.79,220.17,664.79,220.17,,0,16.47,84.11,1,palm,relative
217017.7434,0,664.79,220.17,664.79,220.17,,0,11.67,78.41,1,palm,relative
217017.7768,0,664.79,220.17,664.79,220.17,,0,12.22,82.12,1,palm,relative
217017.8101,0,664.79,220.17,664.79,220.17,,0,10.53,76.04,1,palm,relative
217017.8435,0,664.79,220.17,664.79,220.17,,0,17.15,85.52,1,palm,relative
217017.8768,0,664.79,220.17,664.79,220.17,,0,11.27,74.73,1,palm,relative
217017.9102,0,664.79,220.17,664.79,220.17,,0,14.79,79.00,1,palm,relative
217017.9435,0,664.79,220.17,664.79,220.17,,0,15.85,77.57,1,palm,relative
217017.9769,0,664.79,220.17,664.79,220.17,,0,18.35,81.95,1,palm,relative
217018.0102,0,664.79,220.17,664.79,220.17,,0,9.47,68.50,1,palm,relative
217018.0436,0,664.79,220.17,664.79,220.17,,0,23.54,85.81,1,palm,relative
217018.0769,0,664.79,220.17,664.79,220.17,,0,10.08,68.88,1,palm,relative
217018.1103,0,664.79,220.17,664.79,220.17,,0,28.14,86.99,1,palm,relative
217018.1436,0,664.79,220.17,664.79,220.17,,0,13.06,76.85,1,palm,relative
217018.1770,0,664.79,220.17,664.79,220.17,,0,14.75,80.57,1,palm,relative
217018.2103,0,664.79,220.17,664.79,220.17,,0,13.59,76.11,1,palm,relative
217018.2437,0,664.79,220.17,664.79,220.17,,0,18.62,81.73,1,palm,relative
217018.2770,0,664.79,220.17,664.79,220.17,,0,18.96,88.83,1,palm,relative
217018.3104,0,664.79,220.17,664.79,220.17,,0,10.86,81.12,1,palm,relative
217018.3437,0,664.79,220.17,664.79,220.17,,0,11.51,82.50,1,palm,relative
217018.3771,0,664.79,220.17,664.79,220.17,,0,16.50,83.80,1,palm,relative
217018.4104,0,664.79,220.17,664.79,220.17,,0,12.67,80.26,1,palm,relative
217018.4438,0,664.79,220.17,664.79,220.17,,0,8.39,74.14,1,palm,relative
217018.4771,0,664.79,220.17,664.79,220.17,,0,15.28,82.82,1,palm,relative
217018.5105,0,664.79,220.17,664.79,220.17,,0,10.21,74.12,1,palm,relative
217018.5438,0,664.79,220.17,664.79,220.17,,0,11.23,76.34,1,palm,relative
217018.5772,0,664.79,220.17,664.79,220.17,,0,13.00,79.92,1,palm,relative
217018.6105,0,664.79,220.17,664.79,220.17,,0,16.60,75.81,1,palm,relative
217018.6439,0,664.79,220.17,664.79,220.17,,0,27.01,86.66,1,palm,relative
217018.6772,0,664.79,220.17,664.79,220.17,,0,10.08,70.77,1,palm,relative
217018.7106,0,664.79,220.17,664.79,220.17,,0,17.95,81.77,1,palm,relative
217018.7439,0,664.79,220.17,664.79,220.17,,0,16.05,73.89,1,palm,relative
217018.7773,0,664.79,220.17,664.79,220.17,,0,27.83,86.27,1,palm,relative
217018.8106,0,664.79,220.17,664.79,220.17,,0,10.98,71.83,1,palm,relative
217018.8440,0,664.79,220.17,664.79,220.17,,0,20.43,82.71,1,palm,relative
217018.8773,0,664.79,220.17,664.79,220.17,,0,11.83,69.79,1,palm,relative
217018.9107,0,664.79,220.17,664.79,220.17,,0,30.17,88.62,1,palm,relative
217018.9440,0,664.79,220.17,664.79,220.17,,0,7.63,70.20,1,palm,relative
217018.9774,0,664.79,220.17,664.79,220.17,,0,15.06,80.63,1,palm,relative
217019.0107,0,664.79,220.17,664.79,220.17,,0,20.01,81.84,1,palm,relative
217019.0441,0,664.79,220.17,664.79,220.17,,0,12.56,74.02,1,palm,relative
217019.0774,0,664.79,220.17,664.79,220.17,,0,16.09,75.82,1,palm,relative
217019.1108,0,664.79,220.17,664.79,220.17,,0,18.80,77.89,1,palm,relative
217019.1441,0,664.79,220.17,664.79,220.17,,0,15.14,73.88,1,palm,relative
217019.1775,0,664.79,220.17,664.79,220.17,,0,19.03,77.83,1,palm,relative
217019.2108,0,664.79,220.17,664.79,220.17,,0,17.94,74.40,1,palm,relative
217019.2442,0,664.79,220.17,664.79,220.17,,0,31.24,86.95,1,palm,relative
217019.2775,0,664.79,220.17,664.79,220.17,,0,16.42,76.77,1,palm,relative
217019.3109,0,664.79,220.17,664.79,220.17,,0,19.53,81.64,1,palm,relative
217019.3442,0,664.79,220.17,664.79,220.17,,0,15.58,72.36,1,palm,relative
217019.3776,0,664.79,220.17,664.79,220.17,,0,24.52,82.91,1,palm,relative
217019.4109,0,664.79,220.17,664.79,220.17,,0,21.72,79.50,1,palm,relative
217019.4443,0,664.79,220.17,664.79,220.17,,0,27.20,86.28,1,palm,relative
217019.4776,0,664.79,220.17,664.79,220.17,,0,12.18,70.89,1,palm,relative
217019.5110,0,664.79,220.17,664.79,220.17,,0,18.47,77.61,1,palm,relative
217019.5443,0,664.79,220.17,664.79,220.17,,0,22.18,78.13,1,palm,relative
217019.5777,0,664.79,220.17,664.79,220.17,,0,27.65,83.36,1,palm,relative
217019.6110,0,664.79,220.17,664.79,220.17,,0,13.87,72.64,1,palm,relative
217019.6444,0,664.79,220.17,664.79,220.17,,0,16.75,75.32,1,palm,relative
217019.6777,0,664.79,220.17,664.79,220.17,,0,20.73,78.96,1,palm,relative
217019.7111,0,664.79,220.17,664.79,220.17,,0,19.52,76.83,1,palm,relative
217019.7444,0,664.79,220.17,664.79,220.17,,0,23.79,81.71,1,palm,relative
217019.7778,0,664.79,220.17,664.79,220.17,,0,17.45,71.98,1,palm,relative
217019.8111,0,664.79,220.17,664.79,220.17,,0,19.59,74.84,1,palm,relative
217019.8445,0,664.79,220.17,664.79,220.17,,0,24.79,77.26,1,palm,relative
217019.8778,0,664.79,220.17,664.79,220.17,,0,27.84,78.33,1,palm,relative
217019.9112,0,664.79,220.17,664.79,220.17,,0,18.26,77.65,1,palm,relative
