t,hand,raw_x,raw_y,x,y,pinch_ratio,pinched,vision_ms,latency_ms,filter,anchor,mode,cam_x,cam_y,sensitivity
218108.7795,0,756.00,491.00,756.00,491.00,,0,8.93,139.97,1,palm,direct,-1.0000,-1.0000,high
218108.8128,0,756.00,491.00,756.00,491.00,,0,13.98,140.81,1,palm,direct,-1.0000,-1.0000,high
218108.8462,0,756.00,491.00,756.00,491.00,,0,25.89,151.83,1,palm,direct,-1.0000,-1.0000,high
218108.8795,0,756.00,491.00,756.00,491.00,,0,15.49,145.57,1,palm,direct,-1.0000,-1.0000,high
218108.9129,0,756.00,491.00,756.00,491.00,,0,19.73,148.24,1,palm,direct,-1.0000,-1.0000,high
218108.9462,0,756.00,491.00,756.00,491.00,,0,21.96,153.81,1,palm,direct,-1.0000,-1.0000,high
218108.9796,0,756.00,491.00,756.00,491.00,,0,22.06,150.98,1,palm,direct,-1.0000,-1.0000,high
218109.0129,0,756.00,491.00,756.00,491.00,,0,19.61,150.40,1,palm,direct,-1.0000,-1.0000,high
218109.0463,0,756.00,491.00,756.00,491.00,,0,9.95,143.13,1,palm,direct,-1.0000,-1.0000,high
218109.0796,0,756.00,491.00,756.00,491.00,,0,18.58,146.49,1,palm,direct,-1.0000,-1.0000,high
218109.1130,0,756.00,491.00,756.00,491.00,,0,16.14,145.02,1,palm,direct,-1.0000,-1.0000,high
218109.1463,0,756.00,491.00,756.00,491.00,,0,23.60,150.03,1,palm,direct,-1.0000,-1.0000,high
218109.1797,0,756.00,491.00,756.00,491.00,,0,15.67,141.32,1,palm,direct,-1.0000,-1.0000,high
218109.2130,0,756.00,491.00,756.00,491.00,,0,21.71,150.67,1,palm,direct,-1.0000,-1.0000,high
218109.2464,0,756.00,491.00,756.00,491.00,,0,15.40,141.02,1,palm,direct,-1.0000,-1.0000,high
218109.2797,0,756.00,491.00,756.00,491.00,,0,12.92,144.27,1,palm,direct,-1.0000,-1.0000,high
218109.3131,0,756.00,491.00,756.00,491.00,,0,23.41,155.56,1,palm,direct,-1.0000,-1.0000,high
